epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
122,1.126874,0.930211,0.875681,0.845886,0.666941,0.839940,0.00007639,0.4362,309.9
123,1.125874,0.930820,0.909043,0.841795,0.666941,0.834528,0.00007120,0.4340,311.0
124,1.130149,0.929525,0.882240,0.845765,0.666941,0.839013,0.00006617,0.4318,313.8
125,1.119113,0.931722,0.893441,0.845767,0.671875,0.838477,0.00006131,0.4297,313.1
126,1.114438,0.933824,0.878725,0.847286,0.666118,0.839745,0.00005662,0.4275,312.6
127,1.115825,0.933070,0.877639,0.846581,0.670230,0.839696,0.00005210,0.4254,309.5
128,1.127215,0.929728,0.864026,0.847751,0.668586,0.839988,0.00004776,0.4233,312.7
129,1.114354,0.932887,0.879815,0.846757,0.664474,0.839403,0.00004360,0.4212,309.3
130,1.111305,0.933818,0.869115,0.848568,0.672697,0.841402,0.00003961,0.4191,312.6
131,1.108227,0.934372,0.867022,0.849860,0.671053,0.842962,0.00003581,0.4170,312.4
132,1.117000,0.932401,0.865838,0.847786,0.671053,0.839696,0.00003219,0.4149,312.8
133,1.117454,0.931856,0.869156,0.847733,0.670230,0.840427,0.00002875,0.4128,293.5
134,1.112187,0.934360,0.870194,0.847990,0.673520,0.840768,0.00002551,0.4107,287.0
135,1.113170,0.934026,0.875865,0.846736,0.671875,0.839111,0.00002245,0.4087,287.1
136,1.112048,0.934257,0.858748,0.850501,0.675164,0.843450,0.00001958,0.4066,287.4
137,1.104727,0.936019,0.883375,0.846775,0.668586,0.837941,0.00001690,0.4046,286.2
138,1.103821,0.936471,0.879392,0.847177,0.674342,0.839891,0.00001441,0.4026,286.4
139,1.107281,0.935575,0.856155,0.850988,0.675164,0.843986,0.00001212,0.4006,286.5
140,1.110920,0.934837,0.864658,0.848468,0.675987,0.841402,0.00001003,0.4000,287.2
141,1.107806,0.934522,0.866054,0.849470,0.680921,0.842036,0.00000813,0.4000,291.2
142,1.110264,0.935571,0.862819,0.849875,0.678454,0.842280,0.00000643,0.4000,289.5
143,1.106476,0.935876,0.875655,0.848085,0.677632,0.840915,0.00000492,0.4000,290.3
144,1.102457,0.936365,0.880401,0.846830,0.677632,0.839159,0.00000362,0.4000,288.1
145,1.106837,0.935895,0.872257,0.848925,0.678454,0.840768,0.00000252,0.4000,290.5
146,1.108278,0.935099,0.875343,0.848833,0.683388,0.840768,0.00000161,0.4000,291.6
147,1.114502,0.933635,0.873531,0.848777,0.683388,0.841256,0.00000100,0.4000,291.0
148,1.108637,0.934843,0.871352,0.848705,0.681743,0.841207,0.00000100,0.4000,287.3
149,1.103097,0.936791,0.857902,0.851117,0.679276,0.843596,0.00000100,0.4000,281.0
150,1.105565,0.935864,0.859835,0.850468,0.676809,0.843352,0.00000100,0.4000,278.7
151,1.203135,0.908765,0.896512,0.837881,0.638980,0.830530,0.00041733,0.4000,336.0
152,1.179558,0.917687,0.974357,0.826387,0.621711,0.818146,0.00041300,0.4000,339.6
153,1.255670,0.894485,0.957631,0.828446,0.633224,0.818878,0.00040867,0.4000,277.1
154,1.261339,0.894441,0.928678,0.831366,0.635691,0.822583,0.00040433,0.4000,284.3
155,1.254053,0.896062,0.891272,0.836740,0.638158,0.828287,0.00040000,0.4000,281.8
156,1.261920,0.892123,0.882536,0.838087,0.638158,0.831700,0.00039567,0.4000,280.2
157,1.252360,0.896000,0.949869,0.825407,0.648026,0.816537,0.00039133,0.4000,283.9
158,1.258768,0.894853,0.865426,0.842644,0.638158,0.834382,0.00038700,0.4000,274.5
159,1.256097,0.895574,0.904095,0.836450,0.636513,0.829799,0.00038267,0.4000,276.3
160,1.244939,0.896996,0.958029,0.826787,0.639803,0.818926,0.00037834,0.4000,276.7
161,1.238170,0.900109,0.920116,0.834326,0.632401,0.827507,0.00037402,0.4000,278.6
162,1.236911,0.899944,0.915766,0.832902,0.632401,0.823217,0.00036970,0.4000,280.1
163,1.243275,0.897690,0.940470,0.829828,0.647204,0.820535,0.00036538,0.4000,278.9
164,1.234419,0.900047,0.898819,0.834968,0.638980,0.826288,0.00036106,0.4000,278.5
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
1,4.057749,0.163209,3.825735,0.101600,0.000000,0.054556,0.00008000,0.8000,335.5
2,3.313401,0.333682,4.054634,0.134500,0.000000,0.087368,0.00016000,0.7960,278.5
3,3.061833,0.397100,4.132933,0.149486,0.000000,0.118912,0.00024000,0.7920,274.0
